;
1.3. Décès par cause,  - dont Sida et VIH, Femmes : Nombre de décès;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800257;
;
;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;;
;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;;
;Femmes : Nombre de décès;Femmes : Nombre de décès;Femmes : Nombre de décès;Femmes : Nombre de décès;Femmes : Nombre de décès;Femmes : Nombre de décès;Femmes : Nombre de décès;Femmes : Nombre de décès;Femmes : Nombre de décès;Femmes : Nombre de décès;Femmes : Nombre de décès;Femmes : Nombre de décès;Femmes : Nombre de décès;;
D69 Rhône;5;0;5;4;3;6;1;1;6;4;5;2;1;;
D70 Haute-Saône;0;0;0;0;0;0;0;0;0;0;0;0;0;;
D71 Saône-et-Loire;1;1;0;0;1;0;0;0;2;1;0;0;0;;
D72 Sarthe;2;1;0;2;1;3;0;1;0;1;1;0;3;;
D73 Savoie;3;1;0;0;0;1;0;1;0;1;0;0;0;;
D74 Haute-Savoie;1;1;0;4;1;0;2;2;1;2;2;1;1;;
D75 Paris;24;24;19;23;28;19;16;23;12;12;12;8;11;;
D76 Seine-Maritime;6;3;0;2;1;1;0;0;2;2;0;1;4;;
D77 Seine-et-Marne;6;5;6;8;9;4;5;2;4;1;4;4;4;;
D78 Yvelines;8;8;4;7;5;4;5;7;5;6;8;0;1;;
D79 Deux-Sèvres;0;1;0;2;0;0;0;0;0;0;1;0;0;;
D80 Somme;0;1;1;0;1;0;0;0;1;0;0;2;2;;
D81 Tarn;0;0;0;0;0;1;1;1;0;2;0;0;0;;
D82 Tarn-et-Garonne;1;1;1;0;0;0;0;0;0;0;0;0;2;;
D83 Var;3;9;9;2;3;2;5;2;3;2;1;4;4;;
D84 Vaucluse;1;1;0;3;2;1;0;4;4;2;0;0;0;;
D85 Vendée;2;2;1;0;3;2;0;0;0;1;0;1;2;;
D86 Vienne;0;1;1;0;2;0;0;0;0;1;1;1;1;;
D87 Haute-Vienne;2;0;1;1;0;0;0;0;0;0;0;0;1;;
D88 Vosges;0;0;1;0;0;0;3;0;0;0;0;0;0;;
D89 Yonne;1;2;1;0;1;1;0;3;1;1;1;0;2;;
D90 Territoire de Belfort;0;0;0;0;0;0;0;1;1;0;0;0;0;;
D91 Essonne;7;7;9;8;3;3;6;14;9;2;2;4;5;;
D92 Hauts-de-Seine;9;10;14;9;14;15;9;9;8;2;5;4;4;;
D93 Seine-Saint-Denis;18;11;15;21;17;18;12;11;10;13;13;8;4;;
D94 Val-de-Marne;10;9;9;9;8;4;7;10;4;4;6;3;5;;
D95 Val-d'Oise;8;5;8;3;9;7;10;7;3;1;4;9;5;;
D9A Guadeloupe;11;13;7;8;8;10;12;3;7;6;3;6;3;;
D9B Martinique;6;6;8;4;6;5;4;3;3;2;4;4;3;;
D9C Guyane;0;8;15;15;14;14;11;11;5;11;5;5;6;;
D9D Réunion;1;3;2;0;0;2;2;1;2;0;0;0;0;;
D9F Mayotte; ; ; ; ; ; ; ; ; ; ; ; ; ;;
R11 Ile-de-France;90;79;84;88;93;74;70;83;55;41;54;40;39;;
R21 Champagne-Ardenne;0;2;2;2;1;0;1;0;2;0;0;1;2;;
R22 Picardie;2;5;3;4;2;1;7;1;2;1;1;4;3;;
R23 Haute-Normandie;8;5;2;3;3;2;2;4;2;3;2;3;3;;
R24 Centre;3;5;8;8;4;5;9;2;4;5;6;4;4;;
R25 Basse-Normandie;2;0;6;0;3;5;2;2;1;1;1;1;0;;
R26 Bourgogne;3;4;1;2;3;2;2;4;4;3;1;2;2;;
R31 Nord-Pas-de-Calais;1;7;3;2;2;4;2;3;6;2;2;1;2;;
R41 Lorraine;4;4;4;3;4;4;4;0;2;1;0;3;1;;
R42 Alsace;2;4;1;5;3;1;1;2;3;2;1;1;2;;
R43 Franche-Comté;2;0;0;3;3;1;3;2;2;0;1;0;1;;
R52 Pays de la Loire;7;6;4;7;8;9;3;9;1;5;3;3;9;;
R53 Bretagne;7;5;9;7;3;10;2;2;1;2;3;1;3;;
R54 Poitou-Charentes;5;7;2;4;8;0;3;1;4;1;3;1;2;;
R72 Aquitaine;4;12;15;12;14;13;8;6;14;9;7;4;3;;
R73 Midi-Pyrénées;6;4;9;7;5;6;11;2;6;5;2;0;2;;
R74 Limousin;3;2;3;1;1;0;1;1;1;0;1;0;1;;
R82 Rhône-Alpes;14;4;10;11;7;12;5;6;14;10;9;10;6;;
R83 Auvergne;2;3;3;3;1;2;2;3;2;1;1;1;2;;
R91 Languedoc-Roussillon;14;15;10;9;13;8;14;8;7;4;8;3;6;;
R93 Provence-Alpes-Côte d'Azur;27;35;38;39;36;37;29;30;25;19;16;13;11;;
R94 Corse;1;1;2;0;2;3;1;3;2;1;0;1;1;;
ROM Départements d'Outre-Mer;18;30;32;27;28;31;29;18;17;19;12;15;12;;
;
Eco-Santé France, Régions & Départements - Mise à jour : Avril 2016;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA;
