;
1.3. Décès par cause,  - dont Sida et VIH, Hommes : Nombre de décès;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800257;
;
;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;;
;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;;
;Hommes : Nombre de décès;Hommes : Nombre de décès;Hommes : Nombre de décès;Hommes : Nombre de décès;Hommes : Nombre de décès;Hommes : Nombre de décès;Hommes : Nombre de décès;Hommes : Nombre de décès;Hommes : Nombre de décès;Hommes : Nombre de décès;Hommes : Nombre de décès;Hommes : Nombre de décès;Hommes : Nombre de décès;;
D69 Rhône;18;10;19;17;9;15;15;11;11;9;3;3;6;;
D70 Haute-Saône;0;0;1;2;0;0;0;0;0;0;0;0;0;;
D71 Saône-et-Loire;4;4;2;1;0;1;0;3;0;1;3;4;1;;
D72 Sarthe;2;7;4;5;4;6;5;4;5;1;2;2;2;;
D73 Savoie;3;1;2;2;0;2;2;1;2;1;2;0;1;;
D74 Haute-Savoie;3;7;7;3;5;5;5;6;8;2;3;3;1;;
D75 Paris;128;101;70;101;91;69;71;53;62;32;37;17;37;;
D76 Seine-Maritime;12;5;8;8;4;5;12;12;7;5;7;2;7;;
D77 Seine-et-Marne;14;15;11;18;16;14;8;9;11;8;9;6;7;;
D78 Yvelines;18;20;12;10;17;11;17;17;10;7;8;8;10;;
D79 Deux-Sèvres;2;6;2;1;3;1;2;0;1;0;1;0;2;;
D80 Somme;2;3;1;8;1;2;1;2;2;3;3;0;0;;
D81 Tarn;2;1;2;4;5;0;5;1;0;2;0;2;2;;
D82 Tarn-et-Garonne;1;3;2;2;2;1;2;1;0;3;1;0;0;;
D83 Var;19;19;16;11;15;15;14;14;10;14;7;0;8;;
D84 Vaucluse;7;10;10;9;9;6;6;3;8;1;8;3;4;;
D85 Vendée;4;1;4;0;3;4;4;1;2;5;3;3;1;;
D86 Vienne;1;2;9;3;4;1;0;4;6;2;2;1;0;;
D87 Haute-Vienne;9;5;4;3;5;4;0;1;0;1;0;1;1;;
D88 Vosges;1;0;1;2;1;3;1;1;0;1;2;0;1;;
D89 Yonne;3;3;4;8;7;5;3;4;1;1;2;1;0;;
D90 Territoire de Belfort;0;1;2;1;0;1;1;0;0;1;0;0;1;;
D91 Essonne;19;24;15;15;14;11;21;12;10;10;9;9;4;;
D92 Hauts-de-Seine;31;37;25;30;36;24;24;22;13;26;13;13;11;;
D93 Seine-Saint-Denis;37;53;46;49;41;37;34;37;38;19;24;16;20;;
D94 Val-de-Marne;29;26;29;29;36;29;27;24;10;12;10;14;14;;
D95 Val-d'Oise;19;23;20;18;18;15;20;13;12;9;8;6;11;;
D9A Guadeloupe;16;29;18;25;18;19;20;22;10;12;11;5;11;;
D9B Martinique;12;23;14;11;20;9;8;8;7;6;5;3;5;;
D9C Guyane;0;26;21;24;20;25;15;12;13;11;11;10;8;;
D9D Réunion;7;7;3;6;3;5;6;5;4;4;2;5;2;;
D9F Mayotte; ; ; ; ; ; ; ; ; ; ; ; ; ;;
R11 Ile-de-France;295;299;228;270;269;210;222;187;166;123;118;89;114;;
R21 Champagne-Ardenne;8;8;8;4;14;11;7;10;8;7;4;5;2;;
R22 Picardie;17;11;4;23;9;8;10;5;7;10;3;4;5;;
R23 Haute-Normandie;15;15;18;11;10;8;21;16;10;8;8;2;4;;
R24 Centre;18;29;32;22;21;12;13;18;8;10;15;12;10;;
R25 Basse-Normandie;1;11;8;4;9;8;7;3;6;4;6;2;4;;
R26 Bourgogne;15;13;9;15;10;12;8;8;4;5;8;7;5;;
R31 Nord-Pas-de-Calais;16;15;18;18;10;13;16;10;9;10;7;5;11;;
R41 Lorraine;8;11;9;7;9;12;9;9;11;7;8;4;3;;
R42 Alsace;14;11;12;19;13;5;9;12;5;5;8;7;4;;
R43 Franche-Comté;3;2;5;6;4;6;1;3;0;2;3;3;5;;
R52 Pays de la Loire;25;19;28;13;18;15;17;14;17;9;13;11;11;;
R53 Bretagne;27;21;24;17;16;21;19;9;16;9;8;11;13;;
R54 Poitou-Charentes;14;20;26;9;16;14;14;17;13;9;6;9;7;;
R72 Aquitaine;44;48;54;52;47;34;31;37;29;25;29;21;14;;
R73 Midi-Pyrénées;23;29;23;25;22;22;22;16;19;16;11;9;12;;
R74 Limousin;14;11;6;4;5;7;1;2;1;4;0;2;1;;
R82 Rhône-Alpes;44;33;50;42;25;48;37;36;36;31;14;12;22;;
R83 Auvergne;5;12;11;7;4;9;7;7;7;5;4;4;4;;
R91 Languedoc-Roussillon;56;40;43;41;40;41;37;35;36;20;17;21;14;;
R93 Provence-Alpes-Côte d'Azur;126;127;145;110;118;99;98;87;69;59;39;40;32;;
R94 Corse;3;5;4;4;2;3;2;3;0;3;1;4;3;;
ROM Départements d'Outre-Mer;35;85;56;66;61;58;49;47;34;33;29;23;26;;
;
Eco-Santé France, Régions & Départements - Mise à jour : Avril 2016;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA;
