;
1.3. Décès par cause,  - dont Sida et VIH,  - Taux de mortalité pour 100 000 personnes;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800257;
;
;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;;
;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;;
;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;;
D39 Jura;0,8;0,4;0,4;0,8;0,4;0,4;0,4;0,0;0,4;0,0;1,1;0,4;1,1;;
D40 Landes;1,5;3,3;1,8;1,4;3,4;0,6;0,6;1,1;0,5;0,8;0,0;0,8;0,0;;
D41 Loir-et-Cher;0,9;0,0;0,0;1,2;1,2;0,6;1,2;0,6;0,3;0,6;0,9;0,9;0,9;;
D42 Loire;0,8;0,3;0,3;0,4;0,7;1,6;0,4;0,8;0,7;0,9;0,0;0,5;0,7;;
D43 Haute-Loire;0,5;0,5;1,4;0,9;0,9;0,5;0,5;0,9;0,5;0,4;0,0;0,0;0,4;;
D44 Loire-Atlantique;0,9;1,2;1,1;0,8;0,7;0,6;0,7;0,7;0,6;0,2;0,6;0,4;0,5;;
D45 Loiret;0,8;1,8;2,4;0,8;1,3;0,8;0,8;1,1;0,3;0,3;1,1;0,3;0,3;;
D46 Lot;1,2;2,5;1,2;0,6;0,6;0,6;3,5;0,6;0,0;0,6;0,6;0,0;1,7;;
D47 Lot-et-Garonne;0,7;1,6;1,3;2,2;0,6;1,9;0,6;0,9;0,6;0,6;0,3;0,9;0,0;;
D48 Lozère;0,0;0,0;1,3;1,3;0,0;0,0;0,0;1,3;0,0;0,0;0,0;0,0;0,0;;
D49 Maine-et-Loire;1,4;0,0;1,2;0,5;0,7;0,3;0,3;0,4;0,3;0,5;0,3;0,4;0,5;;
D50 Manche;0,2;0,2;0,8;0,4;0,8;1,4;0,6;0,2;0,6;0,2;0,4;0,2;0,4;;
D51 Marne;0,2;0,4;0,7;0,2;1,1;1,1;0,9;0,7;0,9;0,4;0,4;0,5;0,2;;
D52 Haute-Marne;0,5;2,1;1,0;1,0;0,5;1,1;0,0;1,1;1,1;0,0;0,0;0,0;0,0;;
D53 Mayenne;0,7;0,0;0,3;0,0;0,3;0,0;0,0;1,7;0,3;0,0;0,0;0,0;0,3;;
D54 Meurthe-et-Moselle;1,1;1,1;0,4;0,3;0,7;0,8;0,6;0,6;0,8;0,3;0,4;0,4;0,1;;
D55 Meuse;0,5;0,0;1,0;1,0;0,0;0,5;0,0;0,5;0,0;0,5;0,0;0,0;0,0;;
D56 Morbihan;1,5;1,1;1,1;0,6;0,7;1,2;0,7;0,0;0,7;0,3;0,8;0,6;0,5;;
D57 Moselle;0,2;0,7;0,6;0,4;0,7;0,6;0,5;0,3;0,7;0,4;0,3;0,4;0,2;;
D58 Nièvre;0,9;2,2;0,4;1,3;1,3;2,2;0,9;0,0;0,0;1,4;1,4;0,5;0,5;;
D59 Nord;0,4;0,4;0,6;0,4;0,3;0,5;0,4;0,4;0,5;0,4;0,3;0,2;0,4;;
D60 Oise;1,4;0,6;0,5;1,9;0,9;0,6;1,3;0,1;0,5;0,7;0,1;0,4;0,6;;
D61 Orne;0,0;1,0;1,7;0,0;0,7;1,7;1,0;0,0;0,3;0,3;0,7;0,0;0,0;;
D62 Pas-de-Calais;0,4;0,8;0,3;0,6;0,3;0,3;0,6;0,1;0,1;0,1;0,0;0,1;0,1;;
D63 Puy-de-Dôme;0,7;0,7;0,5;0,8;0,3;0,8;0,6;0,5;0,8;0,5;0,5;0,3;0,5;;
D64 Pyrénées-Atlantiques;2,2;2,5;2,8;1,9;1,9;2,1;1,4;0,9;1,4;0,9;0,8;0,6;0,9;;
D65 Hautes-Pyrénées;1,3;1,3;1,3;4,0;1,3;1,8;0,9;0,4;1,3;0,4;0,4;0,4;0,4;;
D66 Pyrénées-Orientales;2,3;3,7;2,0;3,1;3,3;0,9;2,8;1,6;1,8;1,6;1,1;1,1;1,3;;
D67 Bas-Rhin;1,1;1,0;1,0;1,7;0,9;0,4;0,6;0,6;0,4;0,4;0,3;0,4;0,3;;
D68 Haut-Rhin;0,7;0,7;0,4;0,8;0,8;0,3;0,4;0,9;0,5;0,4;0,8;0,5;0,4;;
D69 Rhône;1,4;0,6;1,5;1,3;0,7;1,3;1,0;0,7;1,0;0,8;0,5;0,3;0,4;;
D70 Haute-Saône;0,0;0,0;0,4;0,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
D71 Saône-et-Loire;0,9;0,9;0,4;0,2;0,2;0,2;0,0;0,5;0,4;0,4;0,5;0,7;0,2;;
D72 Sarthe;0,8;1,5;0,7;1,3;0,9;1,6;0,9;0,9;0,9;0,4;0,5;0,4;0,9;;
D73 Savoie;1,6;0,5;0,5;0,5;0,0;0,8;0,5;0,5;0,5;0,5;0,5;0,0;0,2;;
D74 Haute-Savoie;0,6;1,2;1,1;1,0;0,9;0,7;1,0;1,1;1,3;0,6;0,7;0,5;0,3;;
